Ketamine	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	GR	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRS	LRS	LRNS	Ketamine	LRS	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	SR	SR	GR	GR	GR	GR	GR
Cannabis species	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRD	LRD	LRD	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	Cannabis species	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR
Arecoline	MR	MR	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRD	LRD	MR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	GR	GR	MR	LRNS	Arecoline	LRS	LRS	LRS	LRS	LRS	MR	LRS	MR	MR	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR	GR	GR
Areca catechu	MR	MR	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRD	LRD	MR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	GR	GR	MR	LRNS	LRS	Areca catechu	LRS	LRS	LRS	LRS	MR	LRS	MR	MR	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR	GR	GR
Caffeine	MR	LRNS	MR	LRNS	LRNS	LRNS	LRD	MR	LRNS	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	LRD	LRD	LRD	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRNS	LRS	LRS	Caffeine	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR	GR	GR
Camellia sinensis	MR	LRNS	MR	LRNS	LRNS	LRNS	LRD	MR	LRNS	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	LRD	LRD	LRD	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRNS	LRS	LRS	LRS	Camellia sinensis	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR	GR	GR
Coffea species	MR	LRNS	MR	LRNS	LRNS	LRNS	LRD	MR	LRNS	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	LRD	LRD	LRD	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRNS	LRS	LRS	LRS	LRS	Coffea species	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR	GR	GR
Cola species	MR	LRNS	MR	LRNS	LRNS	LRNS	LRD	MR	LRNS	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	LRD	LRD	LRD	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRNS	LRS	LRS	LRS	LRS	LRS	Cola species	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR	GR	GR
Duboisia hopwoodii	MR	MR	LRNS	MR	LRNS	LRNS	LRD	MR	LRNS	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRD	LRD	LRS	LRS	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	LRS	LRS	MR	MR	LRS	LRS	LRS	LRS	Duboisia hopwoodii	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR	GR	GR
Ilex paraguariensis	MR	LRNS	MR	LRNS	LRNS	LRNS	LRD	MR	LRNS	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	LRD	LRD	LRD	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	Ilex paraguariensis	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR	GR	GR
Nicotine	MR	LRNS	LRNS	MR	LRNS	LRNS	LRD	MR	LRNS	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRD	LRD	LRS	LRS	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	LRS	LRS	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	Nicotine	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR	GR	GR
Nicotiana species	MR	LRNS	LRNS	MR	LRNS	LRNS	LRD	MR	LRNS	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRD	LRD	LRS	LRS	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	LRS	LRS	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	Nicotiana species	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR	GR	GR
Mesembrine	MR	MR	GR	LRNS	LRNS	LRNS	MR	GR	MR	LRS	LRNS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	SR	LRS	MR	MR	MR	MR	LRD	LRD	LRD	MR	MR	MR	LRS	LRS	SR	SR	SR	SR	LRNS	SR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	MR	SR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	Mesembrine	LRS	MR	MR	MR	MR	MR	MR	MR	MR	LRD	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	LRS	LRS	SR	SR	SR	SR	SR	SR	SR
Sceletium species	MR	MR	GR	LRNS	LRNS	LRNS	MR	GR	MR	LRS	LRNS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	SR	LRS	MR	MR	MR	MR	LRD	LRD	LRD	MR	MR	MR	LRS	LRS	SR	SR	SR	SR	LRNS	SR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	MR	SR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	Sceletium species	MR	MR	MR	MR	MR	MR	MR	MR	LRD	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	LRS	LRS	SR	SR	SR	SR	SR	SR	SR
Eugenol	MR	MR	GR	LRNS	LRNS	LRNS	MR	GR	MR	LRS	LRNS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	SR	LRS	MR	MR	MR	MR	LRD	LRD	LRD	MR	MR	MR	LRS	LRS	SR	SR	SR	SR	LRNS	SR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	MR	SR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	Eugenol	LRS	MR	MR	MR	MR	MR	MR	LRD	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	LRS	LRS	SR	SR	SR	SR	SR	SR	SR
Piper betle	MR	MR	GR	LRNS	LRNS	LRNS	MR	GR	MR	LRS	LRNS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	SR	LRS	MR	MR	MR	MR	LRD	LRD	LRD	MR	MR	MR	LRS	LRS	SR	SR	SR	SR	LRNS	SR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	MR	SR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	LRS	Piper betle	MR	MR	MR	MR	MR	MR	LRD	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	LRS	LRS	SR	SR	SR	SR	SR	SR	SR
MDMA	GR	MR	GR	LRNS	LRNS	LRNS	MR	GR	GR	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	SR	MR	MR	MR	MR	MR	LRD	LRD	LRD	MR	MR	MR	MR	MR	SR	SR	SR	SR	MR	SR	MR	MR	MR	MR	MR	MR	LRS	MR	SR	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MDMA	LRS	LRS	LRS	MR	MR	LRD	SR	SR	SR	SR	SR	SR	SR	SR	SR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	SR	SR	SR	SR	SR	SR	SR
MDA	GR	MR	GR	LRNS	LRNS	LRNS	MR	GR	GR	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	SR	MR	MR	MR	MR	MR	LRD	LRD	LRD	MR	MR	MR	MR	MR	SR	SR	SR	SR	MR	SR	MR	MR	MR	MR	MR	MR	LRS	MR	SR	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRS	MDA	LRS	LRS	MR	MR	LRD	SR	SR	SR	SR	SR	SR	SR	SR	SR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	SR	SR	SR	SR	SR	SR	SR
Safrole	MR	MR	GR	LRNS	LRNS	LRNS	MR	GR	GR	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	SR	MR	MR	MR	MR	MR	LRD	LRD	LRD	MR	MR	MR	MR	MR	SR	SR	SR	SR	MR	SR	MR	MR	MR	MR	MR	MR	LRS	MR	SR	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRS	LRS	Safrole	LRS	MR	MR	LRD	SR	SR	SR	SR	SR	SR	SR	SR	SR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	SR	SR	SR	SR	SR	SR	SR
Sassafras species	MR	MR	GR	LRNS	LRNS	LRNS	MR	GR	GR	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	SR	MR	MR	MR	MR	MR	LRD	LRD	LRD	MR	MR	MR	MR	MR	SR	SR	SR	SR	MR	SR	MR	MR	MR	MR	MR	MR	LRS	MR	SR	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRS	LRS	LRS	Sassafras species	MR	MR	LRD	SR	SR	SR	SR	SR	SR	SR	SR	SR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	SR	SR	SR	SR	SR	SR	SR
Myristicin	MR	MR	GR	LRNS	LRNS	LRNS	MR	MR	MR	LRS	LRNS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	SR	LRS	MR	MR	MR	MR	LRD	LRD	LRD	MR	MR	MR	LRS	LRS	SR	SR	SR	SR	LRNS	SR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	MR	SR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	Myristicin	LRS	LRD	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	LRS	LRS	SR	SR	SR	SR	SR	SR	SR
Myristica species	MR	MR	GR	LRNS	LRNS	LRNS	MR	MR	MR	LRS	LRNS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	SR	LRS	MR	MR	MR	MR	LRD	LRD	LRD	MR	MR	MR	LRS	LRS	SR	SR	SR	SR	LRNS	SR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	MR	SR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	LRS	Myristica species	LRD	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	LRS	LRS	SR	SR	SR	SR	SR	SR	SR
SSRIs	LRNS	LRNS	SR	MR	GR	LRNS	LRNS	LRNS	LRNS	LRS	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	LRD	LRD	LRD	LRD	LRD	LRD	SR	LRD	LRD	LRD	LRD	LRD	LRD	LRNS	MR	SR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	SSRIs	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	SR	SR	GR	GR	GR	GR	GR
MAOIs	SR	GR	SR	LRNS	MR	LRNS	GR	MR	MR	LRS	LRNS	LRNS	LRS	LRS	LRD	LRD	LRD	LRS	LRS	LRS	LRS	LRD	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	SR	SR	SR	SR	SR	LRNS	SR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	GR	SR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRNS	LRS	LRS	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	MAOIs	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR
Harmalas	SR	GR	SR	LRNS	MR	LRNS	GR	MR	MR	LRS	LRNS	LRNS	LRS	LRS	LRD	LRD	LRD	LRS	LRS	LRS	LRS	LRD	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	SR	SR	SR	SR	SR	LRNS	SR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	GR	SR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRNS	LRS	LRS	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRS	Harmalas	LRS	LRS	LRS	LRS	LRS	LRS	LRS	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR
Harmaline	SR	GR	SR	LRNS	MR	LRNS	GR	MR	MR	LRS	LRNS	LRNS	LRS	LRS	LRD	LRD	LRD	LRS	LRS	LRS	LRS	LRD	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	SR	SR	SR	SR	SR	LRNS	SR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	GR	SR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRNS	LRS	LRS	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRS	LRS	Harmaline	LRS	LRS	LRS	LRS	LRS	LRS	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR
Harmine	SR	GR	SR	LRNS	MR	LRNS	GR	MR	MR	LRS	LRNS	LRNS	LRS	LRS	LRD	LRD	LRD	LRS	LRS	LRS	LRS	LRD	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	SR	SR	SR	SR	SR	LRNS	SR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	GR	SR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRNS	LRS	LRS	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRS	LRS	LRS	Harmine	LRS	LRS	LRS	LRS	LRS	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR
Banisteriopsis caapi	SR	GR	SR	LRNS	MR	LRNS	GR	MR	MR	LRS	LRNS	LRNS	LRS	LRS	LRD	LRD	LRD	LRS	LRS	LRS	LRS	LRD	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	SR	SR	SR	SR	SR	LRNS	SR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	GR	SR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRNS	LRS	LRS	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRS	LRS	LRS	LRS	Banisteriopsis caapi	LRS	LRS	LRS	LRS	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR
Peganum harmala	SR	GR	SR	LRNS	MR	LRNS	GR	MR	MR	LRS	LRNS	LRNS	LRS	LRS	LRD	LRD	LRD	LRS	LRS	LRS	LRS	LRD	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	SR	SR	SR	SR	SR	LRNS	SR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	GR	SR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRNS	LRS	LRS	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRS	LRS	LRS	LRS	LRS	Peganum harmala	LRS	LRS	LRS	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR
Passiflora species	SR	GR	SR	LRNS	MR	LRNS	GR	MR	MR	LRS	LRNS	LRNS	LRS	LRS	LRD	LRD	LRD	LRS	LRS	LRS	LRS	LRD	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	SR	SR	SR	SR	SR	LRNS	SR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	GR	SR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRNS	LRS	LRS	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRS	LRS	LRS	LRS	LRS	LRS	Passiflora species	LRS	LRS	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR
Kavalactones	GR	GR	SR	LRNS	MR	LRNS	GR	MR	MR	LRS	LRS	LRS	LRS	LRS	LRD	LRD	LRD	LRS	LRS	LRS	LRS	LRD	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRNS	LRS	MR	MR	MR	MR	MR	GR	GR	GR	LRS	LRS	LRS	LRS	SR	SR	SR	SR	SR	GR	SR	GR	GR	GR	GR	GR	GR	LRNS	GR	SR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRNS	LRS	LRS	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	Kavalactones	LRS	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR
Piper methysticum	GR	GR	SR	LRNS	MR	LRNS	GR	MR	MR	LRS	LRS	LRS	LRS	LRS	LRD	LRD	LRD	LRS	LRS	LRS	LRS	LRD	MR	MR	MR	MR	LRS	LRS	LRS	LRS	LRNS	LRS	MR	MR	MR	MR	MR	GR	GR	GR	LRS	LRS	LRS	LRS	SR	SR	SR	SR	SR	GR	SR	GR	GR	GR	GR	GR	GR	LRNS	GR	SR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRNS	LRS	LRS	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	Piper methysticum	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR
