,LSD,Psilocybin,DMT,Mescaline,DOx,NBOMes,2C-x,2C-T-x,5-MeO-xxT,Cannabis,Ketamine,MXE,DXM,Nitrous ,Amphetamines,MDMA,Cocaine,Caffeine,Alcohol,GHB/GBL,Opiods,Tramadol,Benzodiazepine,MAOIs,SSRIs,Salvia divonorum,Acacia species,Mimosa tenuiflora,Panaelous cyanescens,Argyreia nervosa,Ipomea violacea,Rivea corymbosa,Amanita muscaria,Trichocereus species,Lophpopra willamsii,Incillius alvarius,Mitragyna speciosa,Papaver somnifarem,Banisteriopsis caapi,Piper methysticum,Catha edulis,Ephedra sinica,Eroxythylum coca,Phyllomedusa bicolor,Tabernathe iboga
Opiods,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRS,SR,SR,SR,MR,MR,LRNS,SR,LRNS,SR,SR,Opiods,SR,SR,MR,LRNS,LRS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,MR,LRNS,LRNS,LRNS,LRS,LRS,MR,MR,MR,MR,SR,LRS,MR
Tramadol,GR,GR,GR,GR,GR,GR,GR,GR,GR,LRS,SR,SR,SR,MR,SR,SR,SR,LRNS,SR,SR,SR,Tramadol,SR,SR,SR,MR,GR,GR,GR,GR,GR,GR,MR,GR,GR,GR,SR,SR,SR,SR,SR,SR,SR,SR,GR
Benzodiazepine,LRD,LRD,LRD,LRD,LRD,LRD,LRD,LRD,LRD,LRD,MR,MR,MR,LRD,LRD,LRD,LRD,LRD,SR,SR,SR,SR,Benzodiazepine,LRS,LRNS,LRNS,LRD,LRD,LRD,LRD,LRD,LRD,MR,LRD,LRD,LRD,SR,SR,LRS,LRS,LRD,LRD,LRD,SR,MR
MAOIs,LRD,LRS,LRS,MR,MR,MR,MR,MR,SR,LRS,MR,GR,SR,LRNS,SR,SR,SR,LRNS,GR,LRS,MR,SR,LRS,MAOIs,SR,LRS,LRS,LRS,LRS,LRD,LRD,LRD,MR,MR,MR,SR,MR,MR,LRS,LRS,SR,SR,SR,MR,SR
SSRIs,LRD,LRD,LRD,LRD,LRD,LRD,LRD,LRD,LRD,LRNS,LRNS,MR,SR,LRNS,LRNS,LRD,LRNS,LRNS,MR,LRNS,LRNS,SR,LRNS,SR,SSRIs,LRD,LRD,LRD,LRD,LRD,LRD,LRD,LRD,LRD,LRD,LRD,LRNS,LRNS,SR,SR,LRNS,LRNS,LRNS,LRNS,GR
Salvia divonorum,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,MR,LRS,LRS,LRS,LRS,MR,LRS,MR,LRNS,MR,MR,LRS,MR,LRNS,LRS,LRD,Salvia dionorum,LRS,LRS,LRS,LRS,LRS,LRS,LRNS,LRS,LRS,LRS,LRS,LRS,LRNS,LRS,MR,MR,MR,MR,LRS
Acacia species,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,MR,LRS,LRS,LRS,LRS,MR,LRS,MR,LRNS,LRD,LRD,LRNS,GR,LRD,LRS,LRD,LRS,Acacia species,LRS,LRS,LRS,LRS,LRS,LRNS,LRS,LRS,LRS,LRNS,LRNS,LRS,LRS,MR,MR,MR,MR,MR
Mimosa tenuiflora,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,MR,LRS,LRS,LRS,LRS,MR,LRS,MR,LRNS,LRD,LRD,LRNS,GR,LRD,LRS,LRD,LRS,LRS,Mimosa tenuiflora,LRS,LRS,LRS,LRS,LRNS,LRS,LRS,LRS,LRNS,LRNS,LRS,LRS,MR,MR,MR,MR,MR
Panaelous cyanescens,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,MR,LRS,LRS,LRS,LRS,MR,LRS,MR,LRNS,LRD,LRD,LRNS,GR,LRD,LRS,LRD,LRS,LRS,LRS,Panaelous cyanescens,LRS,LRS,LRS,LRNS,LRS,LRS,LRS,LRNS,LRNS,LRS,LRS,MR,MR,MR,MR,MR
Argyreia nervosa,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,MR,LRS,LRS,LRS,LRS,MR,LRS,MR,LRNS,LRD,LRD,LRNS,GR,LRD,LRD,LRD,LRS,LRS,LRS,LRS,Argyreia nervosa,LRS,LRS,LRNS,LRS,LRS,LRS,LRNS,LRNS,LRS,LRNS,MR,MR,MR,MR,MR
